Year;GDP_growths;CPI_growths;MR_Discont;HMR_5yr;DisInc;Population_Ths;Unemployment;CCI_growths;HP_growths;BR_10yr
1951;9,83;7,6;6;;;50528;10,4;;;
1952;9,25;2,1;4,5;;;50859;9,5;;;
1953;8,8;-1,7;3,5;;;51350;8,4;;;
1954;7,65;0,4;3;;;51880;7,6;;;
1955;12,02;1,4;3,5;;;52382;5,6;;;
1956;7,64;2,8;5;;;53008;4,4;;;
1957;5,9;2;4;;;53656;3,7;;;
1958;4,35;2,3;3;;;54292;3,7;;;
1959;7,81;0,6;4;;;54876;2,6;;;
1960;8,65;1,6;4;;;55433;1,3;;;
1961;4,63;2,5;3;;10,13953781;56175;0,8;;;
1962;4,64;2,8;3;;8,145562457;56938;0,7;;;
1963;2,81;3;3;;7,374605324;57587;0,8;;16,27;0,061
1964;6,68;2,4;3;;9,37290107;58266;0,8;;6,2;0,062
1965;5,37;3,2;4;;11,36457249;59012;0,7;;19,47;0,071
1966;2,78;3,3;5;;6,092640413;59638;0,7;;11,1;0,081
1967;-0,31;1,9;3;7,18;2,375700413;59873;2,1;;9,19;0,07
1968;5,46;1,6;3;7,05;8,091658824;60184;1,5;;8,89;0,065
1969;7,45;1,8;6;7,2;10,87689955;60848;0,7;6,3;3,82;0,068
1970;5,04;3,6;6;8,56;12,11861342;60651;0,6;16,5;8,2;0,083
1971;3,14;5,2;4;8,5;10,71474648;61302;0,7;9,6;6,88;0,08
1972;4,28;5,4;4,5;8,29;11,57972715;61672;0,9;5,1;6,447;0,079
1973;4,78;7,1;7;9,89;8,825986737;61976;1;5,8;6,967;0,093
1974;0,89;6,9;6;10,47;8,532434906;62054;2,2;7,6;7,18;0,104
1975;-0,87;6;3,5;8,69;10,19945431;61829;4;2,1;1,721;0,085
1976;4,96;4,2;3,5;7,84;5,949931511;61531;4;3,2;2,201834862;0,078
1977;3,35;3,7;3;7,01;6,546757725;61401;3,9;4,3;5,565529623;0,062
1978;3;2,7;3;6,42;6,307973498;61327;3,8;5,9;7,31292517;0,058
1979;4,15;4,1;6;7,66;8,243488809;61359;3,3;8,8;8,874801902;0,074
1980;1,41;5,4;7,5;9,55;13,1433639;61566;3,3;10,9;7,423580786;0,085
1981;0,52;6,3;7,5;11,06;6,516144127;61682;4,8;5,2;7,046070461;0,101
1982;-0,39;5,2;5;8,5;3,223503569;61638;6,7;2,6;0,886075949;0,09
1983;1,57;3,2;4;8,99;2,651132273;61423;8,1;1,7;0,250941029;0,08
1984;2,82;2,5;4,5;8,87;4,958020938;61175;8,1;2,5;-2,127659574;0,079
1985;2,33;2;4;7,96;3,581539272;61024;8,2;0,8;-1,023017903;0,069
1986;2,29;-0,1;3,5;6,98;3,762791585;61066;7,9;1,8;0,258397933;0,059
1987;1,4;0,2;2,5;6,59;3,615620214;61077;7,9;1,7;-0,902061856;0,061
1988;3,71;1,2;3,5;6,68;5,069390047;61450;7,7;2,1;1,690507152;0,065
1989;3,89;2,8;6;7,94;6,446666948;62063;7,1;3,2;3,324808184;0,069
1990;5,27;2,6;6;9,73;8,594761741;63254;6,4;6,2;7,797029703;0,087
1991;5,1;3,7;8;9,79;22,28783859;64074;5,7;6,9;4,822043628;0,085
1992;1,92;3,9;8,25;9,35;7,119849304;80594;7,8;6,2;5,147864184;0,078
1993;-0,98;3,6;5,75;7,52;3,771527199;81179;8,9;4,2;4,270833333;0,065
1994;2,39;2,7;4,5;7,61;2,799423859;81422;9,6;2,1;3,796203796;0,069
1995;1,54;1,9;3;7,49;2,32218322;81661;9,4;2,1;0,962463908;0,068
1996;0,81;1,4;2,5;6,44;2,037316621;81896;10,4;-0,3;-1,334604385;0,062
1997;1,79;1,9;2,5;5,9;1,336819674;82052;11,4;-0,7;-1,739130435;0,056
1998;2,01;0,8;2,5;5,41;1,354904925;82029;11,1;-0,2;-0,983284169;0,046
1999;1,89;0,7;2;5,14;2,601962719;82087;10,5;-0,3;0,099304866;0,045
2000;2,91;1,3;3,75;6,36;1,209183718;81457;9,6;0,7;0,595238095;0,053
2001;1,68;2;2,25;5,68;4,652499462;81517;9,4;0,2;-0,098619329;0,048
2002;-0,2;1,4;1,75;5,53;-0,037511115;81578;9,8;-0,1;-0,691016782;0,048
2003;-0,7;1;1;4,91;2,360573732;81549;10,5;0,1;-1,391650099;0,041
2004;1,18;1,6;1;4,74;1,879435965;81456;10,5;1,1;-1,310483871;0,04
2005;0,73;1,6;1,25;4,25;1,54908346;81337;11,7;1,2;-0,919305414;0,034
2006;3,82;1,6;2,5;4,61;2,292096952;81173;10,8;2,4;0,103092784;0,038
2007;2,98;2,3;3;5,09;1,541300307;80992;9;6,8;-0,205973223;0,042
2008;0,96;2,6;2;5,22;2,248382945;80764;7,8;3,4;3,302373581;0,04
2009;-5,69;0,3;0,25;4,25;-0,907890338;80483;8,1;1,2;-0,699300699;0,032
2010;4,18;1;0,25;3,69;2,323319653;80284;7,7;1;0,60362173;0,027
2011;3,93;2,2;0,25;3,84;3,412766147;80275;7,1;2,8;2,4;0,026
2012;0,42;1,9;0;3,06;2,302187458;80426;6,8;2,7;3,02734375;0,015
2013;0,44;1,5;0;2,76;1,425880603;80646;6,9;2,1;3,033175355;0,016
2014;2,21;1;-0,2;2,49;2,50909764;80983;6,7;1,7;2,943882245;0,012
2015;1,49;0,5;-0,3;1,95;2,770917906;81687;6,4;1,4;4,647006256;0,005
2016;2,23;0,5;-0,4;1,76;3,499614098;82349;6,1;1,9;7,600341588;0,001
2017;2,68;1,5;-0,4;1,83;3,337637999;82657;5,7;3,3;6,111111111;0,004
2018;0,98;1,8;-0,4;1,87;4,11085533;82906;5,2;4,7;6,581899776;0,005
2019;1,06;1,4;-0,5;1,52;2,130000766;83093;5;4,7;5,824561404;-0,002
2020;-3,7;0,5;-0,5;1,25;1,314869648;83161;5,9;1,4;7,692307692;-0,005
2021;2,63;3,1;-0,5;1,26;2,445079694;83196;5,7;8,6;11,63793103;-0,003
2022;1,79;6,9;2;2,33;6,333119305;83794;5,3;16,8;5,45;0,0114
2023;-0,3;5,9;3,75;4,14;6,053684348;84537;5,7;8,7;-9,45;0,0243
2024;0;2,2;3,5;3,5;5;84700;5,9;4,5;-2,5;0,022
